[07-Apr-2015 00:01:00 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 204
[07-Apr-2015 00:01:00 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 204
[07-Apr-2015 00:01:19 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 169 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 205
[07-Apr-2015 00:01:19 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 169 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 205
[07-Apr-2015 00:01:19 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 169 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 205
[07-Apr-2015 00:01:28 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 205
[07-Apr-2015 00:01:28 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 205
[07-Apr-2015 00:01:28 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 205
[07-Apr-2015 00:01:38 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 203
[07-Apr-2015 00:01:39 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 203
[07-Apr-2015 00:01:39 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 203
